Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Spain's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Spain (%)	
"Central African Republic"	5879	5845	0	-1	-16	199	0	7	6606	0.08		
"Kyrgyzstan"	4948	4389	0	0	-34	127	0.03	1	2892	0.2		
"Comoros"	4828	4200	0	3	13	192	0	18	5731	0.22		
"Belize"	4572	-21930	0	-16	-16	179	0	1	5006	0.18		
"Papua New Guinea"	4146	-80873	0	6	50	143	0.02	-1	4973	0.17		
"British Virgin Islands"	3931	2894	0	-25	307	156	0.01	8	7242	0.27		
"Tajikistan"	3776	3441	0	20	111	142	0.02	9	2803	0.17		
"Malawi"	3540	-595	0	-22	210	168	0	0	5169	0.15		
"Eritrea"	3387	3387	0	-11	16	203	0	-8	6303	0.14		
"Faroe Islands"	3365	-56544	0	6	51	172	0	7	1404	0.27		
"Antigua and Barbuda"	2837	2690	0	-43	31	174	0	1	6334	0.27		
"South Sudan"	2506	2506	0	12	-20	194	0	12		0.25		
"Sao Tome and Principe"	2381	2036	0	13	32	210	0	-3	6155	0.31		
"Bermuda"	1846	1671	0	-6	0	169	0	-3	8006	0.28		
"Saint Lucia"	1825	1701	0	-13	-24	171	0	-10	5321	0.23		
"Grenada"	1711	1501	0	16	58	191	0	-1	4157	0.2		
"Fiji"	1537	668	0	-10	-31	157	0.01	-7	7384	0.12		
"Turks and Caicos Islands"	1412	1384	0	89	4	193	0	-3	3491	0.74		
"Eswatini"	1366	-40874	0	6	28	160	0	1	1597	0.74		
"Sint Maarten (Dutch part)"	1269	1148	0	-23	-58	213	0	-7		0.43		
"Lesotho"	1248	1207	0	32	207	164	0	-2	1590	0.78		
"United States Minor Outlying Islands"	1100	935	0	-22	-48	177	0	0		0.21		
"Burundi"	1091	1027	0	46	0	188	0	13	4755	0.14		
"Botswana"	1043	1012	0	-42	-42	124	0.03	2	2968	0.52		
"Micronesia, Federated States of"	998	976	0	15	18	208	0	-8	7109	0.19		
"Dominica"	689	616	0	50	-55	185	0	8	4908	0.65		
"Saint Vincent and the Grenadines"	449	434	0	-3	-42	196	0	3	6798	0.14		
"Korea, Democratic People's Republic of"	318	-1865	0	-28	90	200	0	-49	1470	0.87		
"Solomon Islands"	316	-11817	0	14	-69	190	0	0	6301	0.17		
"Vanuatu"	271	-796	0	-17	-75	198	0	-2	6248	0.13		
"Palau"	268	268	0	219	4367	209	0	1	6232	0.16		
"Saint Kitts and Nevis"	266	-34	0	-19	-51	201	0	-12	5440	0.41		
"Wallis and Futuna Islands"	211	210	0	34	18	218	0	7	10103	0.24		
"Saint Pierre and Miquelon"	200	199	0	12	1	215	0	10	3489	0.45		
"French Southern and Antarctic Territories"	155	-1388	0	44	-21	214	0	14		0.12		
"Nauru"	148	11	0	117	8	211	0	18	6014	0.27		
"Samoa"	125	44	0	-1	-6	197	0	-1	6816	0.13		
"Cook Islands"	102	82	0	-9	-27	206	0	-4	9417	0.22		
"Northern Mariana Islands"	102	76	0	4	437	216	0	-19	3811	0.2		
"Anguilla"	84	42	0	-18	110	212	0	-5	4397	0.58		
"Tonga"	58	18	0	12	-91	202	0	4	5771	0.16		
